90037,2308,MAX,4696,,VALUE-MIN,2307,,0.491373802
90017,3370,MIN,1,,,3369,,0.717571885
90013,3262,MAX-MIN,4695,,,3261,,0.69456869
91607,566,,,,,565,,0.120340788
91402,955,,,,,954,,0.203194888
90014,1215,,,,,1214,,0.25857295
90012,2245,,,,,2244,,0.477955272
91342,852,,,,,851,,0.181256656
90015,2033,,,,,2032,,0.432800852
91340,323,,,,,322,,0.0685836
90851,296,,,,,295,,0.062832801
90710,1479,,,,,1478,,0.314802982
91411,1699,,,,,1698,,0.361661342
91405,1686,,,,,1685,,0.358892439
91316,1236,,,,,1235,,0.263045793
91356,1390,,,,,1389,,0.295846645
90027,2094,,,,,2093,,0.445793397
90049,843,,,,,842,,0.179339723
90071,1009,,,,,1008,,0.214696486
90035,1206,,,,,1205,,0.256656017
90048,1614,,,,,1613,,0.343556976
91401,1920,,,,,1919,,0.408732694
90074,395,,,,,394,,0.083919063
90025,2742,,,,,2741,,0.583812567
90292,428,,,,,427,,0.090947817
90057,2800,,,,,2799,,0.596166134
90044,1660,,,,,1659,,0.353354633
90031,1603,,,,,1602,,0.341214058
90033,2383,,,,,2382,,0.507348243
90227,203,,,,,202,,0.043024494
90034,1361,,,,,1360,,0.289669862
90021,885,,,,,884,,0.18828541
90016,2725,,,,,2724,,0.580191693
90026,2938,,,,,2937,,0.625559105
90003,1740,,,,,1739,,0.370394036
90028,4696,,,,,4695,,1
90066,652,,,,,651,,0.138658147
90007,2138,,,,,2137,,0.455165069
90036,2025,,,,,2024,,0.431096912
90731,3116,,,,,3115,,0.663471778
90002,857,,,,,856,,0.182321619
90086,326,,,,,325,,0.069222577
91352,802,,,,,801,,0.170607029
90079,209,,,,,208,,0.044302449
90212,50,,,,,49,,0.010436635
90210,237,,,,,236,,0.050266241
91406,2272,,,,,2271,,0.48370607
90042,1416,,,,,1415,,0.301384452
90047,835,,,,,834,,0.177635783
90029,1818,,,,,1817,,0.387007455
90059,573,,,,,572,,0.121831736
90272,577,,,,,576,,0.122683706
90032,1419,,,,,1418,,0.302023429
90019,2654,,,,,2653,,0.565069223
91335,2564,,,,,2563,,0.545899894
90062,1565,,,,,1564,,0.333120341
90004,1417,,,,,1416,,0.301597444
90038,2049,,,,,2048,,0.436208733
90024,1061,,,,,1060,,0.225772098
90064,1624,,,,,1623,,0.345686901
90744,2412,,,,,2411,,0.513525027
90043,954,,,,,953,,0.202981896
90039,979,,,,,978,,0.208306709
91328,369,,,,,368,,0.078381257
91344,599,,,,,598,,0.127369542
90005,838,,,,,837,,0.17827476
90023,1762,,,,,1761,,0.375079872
90001,258,,,,,257,,0.054739084
90291,958,,,,,957,,0.203833866
90046,2208,,,,,2207,,0.470074547
91605,812,,,,,811,,0.172736954
90006,1495,,,,,1494,,0.318210863
91306,657,,,,,656,,0.13972311
90011,1473,,,,,1472,,0.313525027
91403,1172,,,,,1171,,0.249414271
90041,779,,,,,778,,0.1657082
90230,255,,,,,254,,0.054100106
90732,728,,,,,727,,0.15484558
91436,540,,,,,539,,0.114802982
90501,635,,,,,634,,0.135037274
91343,839,,,,,838,,0.178487753
13359,240,,,,,239,,0.050905218
90250,45,,,,,44,,0.009371672
90018,2124,,,,,2123,,0.452183174
91303,661,,,,,660,,0.14057508
90068,861,,,,,860,,0.183173589
90065,1283,,,,,1282,,0.273056443
90008,2008,,,,,2007,,0.427476038
90020,732,,,,,731,,0.155697551
91423,1167,,,,,1166,,0.248349308
91324,654,,,,,653,,0.139084132
90010,244,,,,,243,,0.051757188
91331,1042,,,,,1041,,0.22172524
90248,428,,,,,427,,0.090947817
91030,16,,,,,15,,0.003194888
90063,338,,,,,337,,0.071778488
90077,241,,,,,240,,0.051118211
90067,280,,,,,279,,0.05942492
nan,757,,,,,756,,0.161022364
90069,355,,,,,354,,0.075399361
91505,12,,,,,11,,0.002342918
91602,397,,,,,396,,0.084345048
90053,94,,,,,93,,0.019808307
90094,192,,,,,191,,0.040681576
90045,730,,,,,729,,0.155271565
91040,214,,,,,213,,0.045367412
91601,960,,,,,959,,0.204259851
91345,250,,,,,249,,0.053035144
90061,583,,,,,582,,0.123961661
90211,145,,,,,144,,0.030670927
91606,740,,,,,739,,0.157401491
90095,95,,,,,94,,0.020021299
91326,235,,,,,234,,0.049840256
90073,305,,,,,304,,0.064749734
90089,444,,,,,443,,0.094355698
91604,722,,,,,721,,0.153567625
91364,379,,,,,378,,0.080511182
90505,54,,,,,53,,0.011288605
91325,513,,,,,512,,0.109052183
91515,32,,,,,31,,0.006602769
91522,33,,,,,32,,0.006815761
91307,241,,,,,240,,0.051118211
90232,117,,,,,116,,0.024707135
90058,207,,,,,206,,0.043876464
90405,19,,,,,18,,0.003833866
91504,31,,,,,30,,0.006389776
90247,179,,,,,178,,0.037912673
90404,41,,,,,40,,0.008519702
91330,80,,,,,79,,0.016826411
90009,369,,,,,368,,0.078381257
91304,425,,,,,424,,0.090308839
91204,48,,,,,47,,0.01001065
90717,71,,,,,70,,0.014909478
91608,94,,,,,93,,0.019808307
60031,13,,,,,12,,0.002555911
90293,223,,,,,222,,0.047284345
91803,5,,,,,4,,0.00085197
91311,614,,,,,613,,0.13056443
90096,49,,,,,48,,0.010223642
90502,223,,,,,222,,0.047284345
90810,123,,,,,122,,0.025985091
90275,50,,,,,49,,0.010436635
91367,636,,,,,635,,0.135250266
90813,2,,,,,1,,0.000212993
91506,13,,,,,12,,0.002555911
90733,16,,,,,15,,0.003194888
91042,253,,,,,252,,0.053674121
90245,77,,,,,76,,0.016187433
