ZipCode,Community,Estimated Median Income,value - min,/max-min
90242,Downey,"$75,005 ","$52,714 ",0.28
90245,El Segundo,"$126,683 ","$104,392 ",0.55
90247,Gardena,"$65,598 ","$43,307 ",0.23
90248,Gardena,"$69,645 ","$47,354 ",0.25
90249,Gardena,"$69,670 ","$47,379 ",0.25
90250,Hawthorne (Holly Park),"$65,935 ","$43,644 ",0.23
90254,Hermosa Beach,"$144,388 ","$122,097 ",0.64
90255,"Huntington Park, Walnut Park","$53,929 ","$31,638 ",0.17
90260,Lawndale,"$76,236 ","$53,945 ",0.28
90262,Lynwood,"$61,941 ","$39,650 ",0.21
90265,Malibu,"$175,607 ","$153,316 ",0.81
90266,Manhattan Beach,"$169,586 ","$147,295 ",0.78
90270,"Bell, Maywood","$54,631 ","$32,340 ",0.17
90272,"Los Angeles (Castellemare, Pacific Highlands, Pacific Palisades, Topanga State Park)","$212,115 ","$189,824 ",1
90274,"Palos Verdes Estates, Rolling Hills, Rolling Hills Estates","$186,144 ","$163,853 ",0.86
90275,"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates","$158,952 ","$136,661 ",0.72
90277,"Redondo Beach, Torrance","$111,859 ","$89,568 ",0.47
90278,"Redondo Beach, Torrance","$132,479 ","$110,188 ",0.58
90280,South Gate,"$59,713 ","$37,422 ",0.2
90290,Topanga,"$135,262 ","$112,971 ",0.6
90291,Los Angeles (Venice),"$105,871 ","$83,580 ",0.44
90292,"Los Angeles (Marina Peninsula), Marina del Rey","$137,813 ","$115,522 ",0.61
90293,Los Angeles (Playa del Rey),"$110,884 ","$88,593 ",0.47
90301,Inglewood,"$55,111 ","$32,820 ",0.17
90302,Inglewood,"$62,794 ","$40,503 ",0.21
90303,Inglewood,"$65,077 ","$42,786 ",0.23
90304,"Inglewood, Lennox","$50,052 ","$27,761 ",0.15
90305,Inglewood,"$80,281 ","$57,990 ",0.31
90401,Santa Monica (Downtown),"$90,682 ","$68,391 ",0.36
90402,Santa Monica,"$139,667 ","$117,376 ",0.62
90403,Santa Monica,"$113,204 ","$90,913 ",0.48
90404,Santa Monica,"$74,591 ","$52,300 ",0.28
90405,"Santa Monica (Ocean Park, Santa Monica Airport, Sunpark)","$97,010 ","$74,719 ",0.39
90501,Torrance,"$80,816 ","$58,525 ",0.31
90502,"Torrance, West Carson","$89,206 ","$66,915 ",0.35
90503,Torrance,"$105,142 ","$82,851 ",0.44
90504,Torrance,"$97,289 ","$74,998 ",0.4
90505,Torrance,"$101,043 ","$78,752 ",0.41
90601,"City of Industry, Whittier","$86,268 ","$63,977 ",0.34
90602,Whittier,"$55,328 ","$33,037 ",0.17
90603,Whittier,"$109,485 ","$87,194 ",0.46
90604,"East La Mirada, South Whittier, Whittier","$88,342 ","$66,051 ",0.35
90605,"South Whittier, Whittier","$83,667 ","$61,376 ",0.32
90606,"Los Nietos, West Whittier","$82,377 ","$60,086 ",0.32
90631,La Habra Heights,"$93,045 ","$70,754 ",0.37
90638,La Mirada,"$97,838 ","$75,547 ",0.4
90640,Montebello,"$66,460 ","$44,169 ",0.23
90650,Norwalk,"$83,217 ","$60,926 ",0.32
90660,Pico Rivera,"$78,056 ","$55,765 ",0.29
90670,Santa Fe Springs,"$76,397 ","$54,106 ",0.29
90701,Artesia,"$83,321 ","$61,030 ",0.32
90703,Cerritos,"$115,272 ","$92,981 ",0.49
90704,"Avalon, Santa Catalina Island","$77,644 ","$55,353 ",0.29
90706,Bellflower,"$70,236 ","$47,945 ",0.25
90710,Los Angeles (Harbor City),"$68,537 ","$46,246 ",0.24
90712,Lakewood,"$108,877 ","$86,586 ",0.46
90713,Lakewood,"$112,118 ","$89,827 ",0.47
90715,Lakewood,"$79,941 ","$57,650 ",0.3
90716,Hawaiian Gardens,"$66,537 ","$44,246 ",0.23
90717,Lomita,"$85,728 ","$63,437 ",0.33
90723,Paramount,"$60,493 ","$38,202 ",0.2
90731,"Los Angeles (San Pedro, Terminal Island)","$61,144 ","$38,853 ",0.2
90732,"Los Angeles (San Pedro), Rancho Palos Verdes","$105,297 ","$83,006 ",0.44
90740,Long Beach (overlaps Orange County),"$75,019 ","$52,728 ",0.28
90744,Los Angeles (Wilmington),"$55,141 ","$32,850 ",0.17
90745,Carson,"$93,759 ","$71,468 ",0.38
90746,Carson,"$96,939 ","$74,648 ",0.39
90755,Signal Hill,"$79,260 ","$56,969 ",0.3
90802,Long Beach,"$62,720 ","$40,429 ",0.21
90803,"Long Beach (Belmont Shore, Marina, Naples)","$98,428 ","$76,137 ",0.4
90804,Long Beach (East Long Beach),"$55,647 ","$33,356 ",0.18
90805,Long Beach (North Long Beach),"$57,232 ","$34,941 ",0.18
90806,Long Beach,"$60,172 ","$37,881 ",0.2
90807,Long Beach (Bixby Knolls),"$81,622 ","$59,331 ",0.31
90808,Long Beach,"$118,814 ","$96,523 ",0.51
90810,"Carson, Dominguez, Long Beach","$67,687 ","$45,396 ",0.24
90813,Long Beach,"$44,867 ","$22,576 ",0.12
90814,Long Beach,"$84,195 ","$61,904 ",0.33
90815,Long Beach,"$102,939 ","$80,648 ",0.42
91001,Altadena,"$114,668 ","$92,377 ",0.49
91006,Arcadia,"$113,817 ","$91,526 ",0.48
91007,Arcadia,"$87,339 ","$65,048 ",0.34
91008,Bradbury,"$167,500 ","$145,209 ",0.76
91010,"Azusa, Bradbury, Duarte, Irwindale, Monrovia","$88,357 ","$66,066 ",0.35
91011,La Cañada Flintridge,"$187,297 ","$165,006 ",0.87
91016,Monrovia,"$88,285 ","$65,994 ",0.35
91020,Montrose,"$59,412 ","$37,121 ",0.2
91024,Sierra Madre,"$116,884 ","$94,593 ",0.5
91030,South Pasadena,"$115,088 ","$92,797 ",0.49
91040,"Los Angeles (Shadow Hills, Sunland)","$98,044 ","$75,753 ",0.4
91042,Los Angeles (Tujunga),"$73,115 ","$50,824 ",0.27
91046,Glendale (Verdugo City),90750.5,"$68,460 ",0.36
91101,Pasadena,"$79,154 ","$56,863 ",0.3
91103,Pasadena,"$73,705 ","$51,414 ",0.27
91104,Pasadena,"$85,049 ","$62,758 ",0.33
91105,Pasadena,"$143,892 ","$121,601 ",0.64
91106,Pasadena,"$84,153 ","$61,862 ",0.33
91107,Pasadena,"$111,084 ","$88,793 ",0.47
91108,San Marino,"$170,223 ","$147,932 ",0.78
91201,Glendale,"$59,432 ","$37,141 ",0.2
91202,Glendale,"$82,476 ","$60,185 ",0.32
91203,Glendale,"$66,245 ","$43,954 ",0.23
91204,Glendale (Tropico),"$63,443 ","$41,152 ",0.22
91205,Glendale (Tropico),"$48,888 ","$26,597 ",0.14
91206,Glendale,"$82,664 ","$60,373 ",0.32
91207,Glendale,"$103,505 ","$81,214 ",0.43
91208,Glendale,"$107,000 ","$84,709 ",0.45
