ZipCode,"Total Population, All Races"," ""American Indian & Alaska Native"""," ""Asian"""," ""Black or African American"""," ""Native Hawaiian & Other Pacific Islander"""," ""White (Not Hispanic or Latino)"""," ""Some other Race"""," ""Two or More Races"""," ""Hispanic or Latino""",value - min(pop),/max - min(pop)
90064,"25,161",0.52%,20.46%,2.40%,0.28%,55.88%,5.28%,8.57%,14.43%,"25,133",0.229560754
90065,"46,432",1.78%,14.27%,1.91%,0.02%,25.84%,30.47%,11.48%,54.57%,"46,404",0.423846625
90066,"54,913",1.36%,14.54%,4.99%,0.14%,47.66%,9.03%,9.37%,27.22%,"54,885",0.501310706
90067,"2,483",0.00%,18.73%,2.26%,0.00%,71.45%,4.07%,3.50%,5.16%,"2,455",0.022423573
90068,"21,127",0.18%,7.00%,5.77%,0.04%,71.25%,2.87%,6.77%,11.92%,"21,099",0.192714851
90069,"20,185",0.00%,7.21%,2.76%,0.00%,76.31%,2.16%,6.97%,8.39%,"20,157",0.184110775
90071,28,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0,0
90077,"7,729",0.00%,7.52%,1.72%,0.00%,77.05%,1.44%,10.67%,5.81%,"7,701",0.070339687
90094,"11,426",0.00%,17.33%,6.60%,0.00%,59.43%,1.93%,10.87%,12.05%,"11,398",0.104107487
90210,"19,627",0.11%,5.07%,1.91%,0.00%,81.27%,1.58%,7.74%,6.17%,"19,599",0.179014094
90247,"48,646",0.64%,25.35%,15.63%,0.03%,6.12%,27.94%,10.51%,50.81%,"48,618",0.444068942
90248,"11,472",0.62%,34.05%,17.01%,0.38%,5.90%,21.28%,8.75%,36.54%,"11,444",0.104527644
90272,"21,282",0.07%,7.26%,0.45%,0.02%,82.10%,0.59%,6.33%,5.02%,"21,254",0.194130596
90291,"25,685",0.90%,4.20%,6.37%,0.16%,66.35%,6.42%,7.72%,17.82%,"25,657",0.234346885
90292,"23,951",0.00%,9.82%,7.64%,0.25%,66.73%,1.86%,8.53%,9.69%,"23,923",0.21850881
90293,"12,812",0.43%,10.26%,4.36%,0.00%,64.49%,3.45%,8.24%,16.38%,"12,784",0.116766987
90402,"12,046",0.32%,7.82%,0.85%,0.00%,73.89%,1.64%,8.41%,12.51%,"12,018",0.109770467
90501,"43,450",0.20%,26.95%,5.28%,0.17%,18.99%,25.05%,12.87%,44.78%,"43,422",0.396609519
90710,"27,998",0.43%,22.44%,11.99%,0.31%,17.02%,15.93%,10.89%,46.22%,"27,970",0.255473452
90731,"62,647",0.94%,6.11%,5.08%,0.42%,27.11%,17.55%,13.67%,57.68%,"62,619",0.57195181
90732,"21,582",0.09%,12.05%,5.28%,0.30%,46.48%,7.63%,11.95%,33.29%,"21,554",0.196870747
90744,"57,030",0.81%,3.55%,2.96%,0.51%,3.67%,25.79%,8.88%,88.76%,"57,002",0.520647041
91040,"21,289",0.18%,10.78%,2.71%,0.02%,60.55%,6.11%,9.45%,23.21%,"21,261",0.194194532
91042,"26,686",0.36%,8.59%,1.21%,0.21%,61.14%,8.84%,9.03%,25.06%,"26,658",0.243489857
91303,"29,965",1.10%,10.33%,3.66%,0.00%,25.40%,36.31%,10.56%,58.03%,"29,937",0.273439712
91304,"54,264",0.74%,17.07%,5.88%,0.09%,32.42%,24.23%,7.47%,40.53%,"54,236",0.495382845
91306,"49,260",0.58%,18.42%,3.70%,0.15%,24.52%,32.89%,8.35%,48.87%,"49,232",0.449677119
91307,"25,773",0.80%,17.39%,3.91%,0.07%,58.12%,4.90%,7.46%,15.36%,"25,745",0.235150663
91311,"41,188",0.42%,16.39%,7.03%,0.11%,42.48%,12.56%,11.30%,29.99%,"41,160",0.375948777
91316,"28,182",0.00%,7.03%,2.33%,0.00%,69.63%,3.38%,8.48%,15.37%,"28,154",0.257154079
91324,"29,328",0.74%,20.65%,5.46%,0.19%,34.12%,21.69%,9.52%,36.47%,"29,300",0.267621457
91325,"35,355",0.44%,16.01%,6.16%,0.29%,35.78%,23.47%,9.44%,37.76%,"35,327",0.3226711
91326,"36,079",0.68%,31.07%,8.34%,0.03%,42.14%,4.42%,8.01%,14.65%,"36,051",0.329283998
91331,"102,553",0.87%,5.17%,2.28%,0.12%,4.27%,32.74%,14.53%,87.21%,"102,525",0.936446754
91335,"78,205",1.28%,12.84%,3.59%,0.36%,27.52%,31.72%,7.90%,53.17%,"78,177",0.714056063
91340,"35,918",1.01%,2.34%,1.81%,0.00%,3.43%,33.42%,12.82%,92.21%,"35,890",0.32781345
91342,"92,764",1.22%,6.55%,3.82%,0.15%,12.93%,22.31%,12.85%,75.20%,"92,736",0.847035613
91343,"64,519",0.72%,13.41%,4.41%,0.00%,19.43%,36.72%,10.41%,61.25%,"64,491",0.589050355
91344,"54,465",0.77%,17.20%,2.91%,0.08%,44.63%,10.81%,10.47%,31.62%,"54,437",0.497218746
91345,"18,752",0.97%,10.98%,1.25%,1.49%,17.52%,39.45%,8.20%,67.20%,"18,724",0.171021985
91352,"45,900",0.68%,5.49%,2.07%,0.04%,21.33%,25.22%,17.39%,69.82%,"45,872",0.418987423
91356,"29,968",0.29%,5.67%,6.28%,0.02%,66.74%,6.06%,8.41%,15.11%,"29,940",0.273467114
91364,"28,264",0.32%,9.41%,6.76%,0.13%,64.96%,4.78%,7.99%,13.54%,"28,236",0.257903053
91367,"44,931",0.20%,12.99%,7.04%,0.20%,61.13%,3.82%,7.44%,14.37%,"44,903",0.410136734
91401,"38,974",0.79%,5.02%,5.58%,0.10%,42.53%,20.16%,11.20%,42.46%,"38,946",0.35572646
91402,"68,076",0.68%,14.91%,2.93%,0.08%,10.61%,54.19%,5.78%,70.62%,"68,048",0.621539417
91403,"26,061",0.08%,7.84%,5.40%,0.03%,66.97%,4.20%,8.43%,14.36%,"26,033",0.237781208
91405,"55,751",0.52%,8.04%,4.87%,0.04%,23.18%,37.76%,9.91%,61.43%,"55,723",0.508964862
91406,"54,404",0.87%,7.34%,4.86%,0.03%,26.16%,34.18%,12.92%,57.72%,"54,376",0.496661582
91411,"23,902",0.22%,7.97%,7.31%,0.05%,34.17%,20.12%,10.65%,48.02%,"23,874",0.218061252
91423,"31,901",0.09%,6.21%,3.99%,0.00%,70.02%,2.36%,10.56%,13.25%,"31,873",0.291122823
91436,"16,970",0.39%,3.86%,1.76%,0.11%,80.14%,2.49%,6.89%,8.57%,"16,942",0.154745486
91504,"27,592",0.75%,11.04%,4.36%,0.05%,54.90%,6.98%,10.72%,23.47%,"27,564",0.251765114
91601,"34,786",0.18%,8.70%,8.56%,0.19%,44.80%,11.55%,9.42%,34.42%,"34,758",0.317473946
91602,"20,465",0.44%,10.75%,7.12%,0.46%,59.42%,6.91%,9.72%,18.02%,"20,437",0.18666825
91604,"32,680",0.30%,8.11%,4.07%,0.00%,70.71%,1.88%,9.35%,11.35%,"32,652",0.298238083
91605,"52,661",1.32%,7.53%,2.53%,0.19%,27.02%,27.73%,10.78%,61.29%,"52,633",0.480741302
91606,"43,381",0.96%,4.21%,4.73%,0.17%,35.70%,20.65%,10.60%,52.16%,"43,353",0.395979284
91607,"30,921",0.18%,7.23%,7.14%,0.09%,58.36%,7.49%,11.55%,21.53%,"30,893",0.282171661
