,ZipCode,CrimeCount,VALUE-MIN(crime),Normalized Crime Rates,"Total Population, All Races"," ""American Indian & Alaska Native"""," ""Asian"""," ""Black or African American"""," ""Native Hawaiian & Other Pacific Islander"""," ""White (Not Hispanic or Latino)"""," ""Some other Race"""," ""Two or More Races"""," ""Hispanic or Latino""",value - min(pop),/max - min(pop),Community,Estimated Median Income,value - min(employ),/max-min(employ)
126,90247,179.0,178.0,0.037912673,"48,646",0.64%,25.35%,15.63%,0.03%,6.12%,27.94%,10.51%,50.81%,"48,618",0.444068942,Gardena,"$65,598 ","$43,307 ",0.23
127,90404,41.0,40.0,0.008519702,,,,,,,,,,,,Santa Monica,"$74,591 ","$52,300 ",0.28
128,91330,80.0,79.0,0.016826411,,,,,,,,,,,,,,,
129,90009,369.0,368.0,0.078381257,,,,,,,,,,,,,,,
130,91304,425.0,424.0,0.090308839,"54,264",0.74%,17.07%,5.88%,0.09%,32.42%,24.23%,7.47%,40.53%,"54,236",0.495382845,"Los Angeles (Canoga Park, West Hills), Box Canyon","$74,987 ","$52,696 ",0.28
131,91204,48.0,47.0,0.01001065,,,,,,,,,,,,Glendale (Tropico),"$63,443 ","$41,152 ",0.22
132,90717,71.0,70.0,0.014909478,,,,,,,,,,,,Lomita,"$85,728 ","$63,437 ",0.33
133,91608,94.0,93.0,0.019808307,,,,,,,,,,,,,,,
134,60031,13.0,12.0,0.002555911,,,,,,,,,,,,,,,
135,90293,223.0,222.0,0.047284345,"12,812",0.43%,10.26%,4.36%,0.00%,64.49%,3.45%,8.24%,16.38%,"12,784",0.116766987,Los Angeles (Playa del Rey),"$110,884 ","$88,593 ",0.47
136,91803,5.0,4.0,0.00085197,,,,,,,,,,,,Alhambra,"$72,773 ","$50,482 ",0.27
137,91311,614.0,613.0,0.13056443,"41,188",0.42%,16.39%,7.03%,0.11%,42.48%,12.56%,11.30%,29.99%,"41,160",0.375948777,Los Angeles (Chatsworth),"$101,623 ","$79,332 ",0.42
138,90096,49.0,48.0,0.010223642,,,,,,,,,,,,,,,
139,90502,223.0,222.0,0.047284345,,,,,,,,,,,,"Torrance, West Carson","$89,206 ","$66,915 ",0.35
140,90810,123.0,122.0,0.025985091,,,,,,,,,,,,"Carson, Dominguez, Long Beach","$67,687 ","$45,396 ",0.24
141,90275,50.0,49.0,0.010436635,,,,,,,,,,,,"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates","$158,952 ","$136,661 ",0.72
142,91367,636.0,635.0,0.135250266,"44,931",0.20%,12.99%,7.04%,0.20%,61.13%,3.82%,7.44%,14.37%,"44,903",0.410136734,Los Angeles (Woodland Hills),"$98,803 ","$76,512 ",0.4
143,90813,2.0,1.0,0.000212993,,,,,,,,,,,,Long Beach,"$44,867 ","$22,576 ",0.12
144,91506,13.0,12.0,0.002555911,,,,,,,,,,,,Burbank,"$83,217 ","$60,926 ",0.32
145,90733,16.0,15.0,0.003194888,,,,,,,,,,,,,,,
146,91042,253.0,252.0,0.053674121,"26,686",0.36%,8.59%,1.21%,0.21%,61.14%,8.84%,9.03%,25.06%,"26,658",0.243489857,Los Angeles (Tujunga),"$73,115 ","$50,824 ",0.27
147,90245,77.0,76.0,0.016187433,,,,,,,,,,,,El Segundo,"$126,683 ","$104,392 ",0.55
148,91206,59.0,58.0,0.012353568,,,,,,,,,,,,Glendale,"$82,664 ","$60,373 ",0.32
149,90745,106.0,105.0,0.022364217,,,,,,,,,,,,Carson,"$93,759 ","$71,468 ",0.38
150,90402,211.0,210.0,0.044728435,"12,046",0.32%,7.82%,0.85%,0.00%,73.89%,1.64%,8.41%,12.51%,"12,018",0.109770467,Santa Monica,"$139,667 ","$117,376 ",0.62
151,91365,112.0,111.0,0.023642173,,,,,,,,,,,,,,,
152,90301,45.0,44.0,0.009371672,,,,,,,,,,,,Inglewood,"$55,111 ","$32,820 ",0.17
153,90305,51.0,50.0,0.010649627,,,,,,,,,,,,Inglewood,"$80,281 ","$57,990 ",0.31
154,90504,20.0,19.0,0.004046858,,,,,,,,,,,,Torrance,"$97,289 ","$74,998 ",0.4
155,90201,20.0,19.0,0.004046858,,,,,,,,,,,,"Bell, Bell Gardens, Cudahy","$49,554 ","$27,263 ",0.14
156,91312,22.0,21.0,0.004472843,,,,,,,,,,,,,,,
157,90272-3002,14.0,13.0,0.002768903,,,,,,,,,,,,,,,
158,90052,68.0,67.0,0.014270501,,,,,,,,,,,,,,,
159,91201,25.0,24.0,0.005111821,,,,,,,,,,,,Glendale,"$59,432 ","$37,141 ",0.2
160,91371,105.0,104.0,0.022151225,,,,,,,,,,,,,,,
161,91102,1.0,0.0,0.0,,,,,,,,,,,,,,,
162,91205,22.0,21.0,0.004472843,,,,,,,,,,,,Glendale (Tropico),"$48,888 ","$26,597 ",0.14
163,90734,5.0,4.0,0.00085197,,,,,,,,,,,,,,,
164,90403,2.0,1.0,0.000212993,,,,,,,,,,,,Santa Monica,"$113,204 ","$90,913 ",0.48
165,91210,1.0,0.0,0.0,,,,,,,,,,,,Glendale (Glendale Galleria PO Boxes),"$105,536 ","$83,245 ",0.44
166,90290,4.0,3.0,0.000638978,,,,,,,,,,,,Topanga,"$135,262 ","$112,971 ",0.6
167,90278,6.0,5.0,0.001064963,,,,,,,,,,,,"Redondo Beach, Torrance","$132,479 ","$110,188 ",0.58
168,90304,43.0,42.0,0.008945687,,,,,,,,,,,,"Inglewood, Lennox","$50,052 ","$27,761 ",0.15
169,91105,5.0,4.0,0.00085197,,,,,,,,,,,,Pasadena,"$143,892 ","$121,601 ",0.64
170,90265,6.0,5.0,0.001064963,,,,,,,,,,,,Malibu,"$175,607 ","$153,316 ",0.81
171,90831,5.0,4.0,0.00085197,,,,,,,,,,,,,,,
172,90081,1.0,0.0,0.0,,,,,,,,,,,,,,,
173,91203,3.0,2.0,0.000425985,,,,,,,,,,,,Glendale,"$66,245 ","$43,954 ",0.23
174,90302,14.0,13.0,0.002768903,,,,,,,,,,,,Inglewood,"$62,794 ","$40,503 ",0.21
175,91214,5.0,4.0,0.00085197,,,,,,,,,,,,"Glendale, La Crescenta, Montrose","$116,201 ","$93,910 ",0.49
176,90040,8.0,7.0,0.001490948,,,,,,,,,,,,"Commerce, City of","$56,948 ","$34,657 ",0.18
177,90296,20.0,19.0,0.004046858,,,,,,,,,,,,,,,
178,91355,2.0,1.0,0.000212993,,,,,,,,,,,,Santa Clarita (Valencia),"$104,637 ","$82,346 ",0.43
179,90056,9.0,8.0,0.00170394,,,,,,,,,,,,Ladera Heights,"$105,744 ","$83,453 ",0.44
180,90022,,,,,,,,,,,,,,,East Los Angeles,"$57,464 ","$35,173 ",0.19
181,90220,,,,,,,,,,,,,,,"Compton, Rancho Dominguez","$65,337 ","$43,046 ",0.23
182,90221,,,,,,,,,,,,,,,"Compton, East Rancho Dominguez","$57,610 ","$35,319 ",0.19
183,90222,,,,,,,,,,,,,,,"Compton, Rosewood, Willowbrook","$63,843 ","$41,552 ",0.22
184,90240,,,,,,,,,,,,,,,Downey,"$91,518 ","$69,227 ",0.36
185,90241,,,,,,,,,,,,,,,Downey,"$75,111 ","$52,820 ",0.28
186,90242,,,,,,,,,,,,,,,Downey,"$75,005 ","$52,714 ",0.28
187,90249,,,,,,,,,,,,,,,Gardena,"$69,670 ","$47,379 ",0.25
188,90254,,,,,,,,,,,,,,,Hermosa Beach,"$144,388 ","$122,097 ",0.64
189,90255,,,,,,,,,,,,,,,"Huntington Park, Walnut Park","$53,929 ","$31,638 ",0.17
190,90260,,,,,,,,,,,,,,,Lawndale,"$76,236 ","$53,945 ",0.28
191,90262,,,,,,,,,,,,,,,Lynwood,"$61,941 ","$39,650 ",0.21
192,90266,,,,,,,,,,,,,,,Manhattan Beach,"$169,586 ","$147,295 ",0.78
193,90270,,,,,,,,,,,,,,,"Bell, Maywood","$54,631 ","$32,340 ",0.17
194,90274,,,,,,,,,,,,,,,"Palos Verdes Estates, Rolling Hills, Rolling Hills Estates","$186,144 ","$163,853 ",0.86
195,90277,,,,,,,,,,,,,,,"Redondo Beach, Torrance","$111,859 ","$89,568 ",0.47
196,90280,,,,,,,,,,,,,,,South Gate,"$59,713 ","$37,422 ",0.2
197,90303,,,,,,,,,,,,,,,Inglewood,"$65,077 ","$42,786 ",0.23
198,90401,,,,,,,,,,,,,,,Santa Monica (Downtown),"$90,682 ","$68,391 ",0.36
199,90503,,,,,,,,,,,,,,,Torrance,"$105,142 ","$82,851 ",0.44
200,90601,,,,,,,,,,,,,,,"City of Industry, Whittier","$86,268 ","$63,977 ",0.34
201,90602,,,,,,,,,,,,,,,Whittier,"$55,328 ","$33,037 ",0.17
202,90603,,,,,,,,,,,,,,,Whittier,"$109,485 ","$87,194 ",0.46
203,90604,,,,,,,,,,,,,,,"East La Mirada, South Whittier, Whittier","$88,342 ","$66,051 ",0.35
204,90605,,,,,,,,,,,,,,,"South Whittier, Whittier","$83,667 ","$61,376 ",0.32
205,90606,,,,,,,,,,,,,,,"Los Nietos, West Whittier","$82,377 ","$60,086 ",0.32
206,90631,,,,,,,,,,,,,,,La Habra Heights,"$93,045 ","$70,754 ",0.37
207,90638,,,,,,,,,,,,,,,La Mirada,"$97,838 ","$75,547 ",0.4
208,90640,,,,,,,,,,,,,,,Montebello,"$66,460 ","$44,169 ",0.23
209,90650,,,,,,,,,,,,,,,Norwalk,"$83,217 ","$60,926 ",0.32
210,90660,,,,,,,,,,,,,,,Pico Rivera,"$78,056 ","$55,765 ",0.29
211,90670,,,,,,,,,,,,,,,Santa Fe Springs,"$76,397 ","$54,106 ",0.29
212,90701,,,,,,,,,,,,,,,Artesia,"$83,321 ","$61,030 ",0.32
213,90703,,,,,,,,,,,,,,,Cerritos,"$115,272 ","$92,981 ",0.49
214,90704,,,,,,,,,,,,,,,"Avalon, Santa Catalina Island","$77,644 ","$55,353 ",0.29
215,90706,,,,,,,,,,,,,,,Bellflower,"$70,236 ","$47,945 ",0.25
216,90712,,,,,,,,,,,,,,,Lakewood,"$108,877 ","$86,586 ",0.46
217,90713,,,,,,,,,,,,,,,Lakewood,"$112,118 ","$89,827 ",0.47
218,90715,,,,,,,,,,,,,,,Lakewood,"$79,941 ","$57,650 ",0.3
219,90716,,,,,,,,,,,,,,,Hawaiian Gardens,"$66,537 ","$44,246 ",0.23
220,90723,,,,,,,,,,,,,,,Paramount,"$60,493 ","$38,202 ",0.2
221,90740,,,,,,,,,,,,,,,Long Beach (overlaps Orange County),"$75,019 ","$52,728 ",0.28
222,90746,,,,,,,,,,,,,,,Carson,"$96,939 ","$74,648 ",0.39
223,90755,,,,,,,,,,,,,,,Signal Hill,"$79,260 ","$56,969 ",0.3
224,90802,,,,,,,,,,,,,,,Long Beach,"$62,720 ","$40,429 ",0.21
225,90803,,,,,,,,,,,,,,,"Long Beach (Belmont Shore, Marina, Naples)","$98,428 ","$76,137 ",0.4
226,90804,,,,,,,,,,,,,,,Long Beach (East Long Beach),"$55,647 ","$33,356 ",0.18
227,90805,,,,,,,,,,,,,,,Long Beach (North Long Beach),"$57,232 ","$34,941 ",0.18
228,90806,,,,,,,,,,,,,,,Long Beach,"$60,172 ","$37,881 ",0.2
229,90807,,,,,,,,,,,,,,,Long Beach (Bixby Knolls),"$81,622 ","$59,331 ",0.31
230,90808,,,,,,,,,,,,,,,Long Beach,"$118,814 ","$96,523 ",0.51
231,90814,,,,,,,,,,,,,,,Long Beach,"$84,195 ","$61,904 ",0.33
232,90815,,,,,,,,,,,,,,,Long Beach,"$102,939 ","$80,648 ",0.42
233,91001,,,,,,,,,,,,,,,Altadena,"$114,668 ","$92,377 ",0.49
234,91006,,,,,,,,,,,,,,,Arcadia,"$113,817 ","$91,526 ",0.48
235,91007,,,,,,,,,,,,,,,Arcadia,"$87,339 ","$65,048 ",0.34
236,91008,,,,,,,,,,,,,,,Bradbury,"$167,500 ","$145,209 ",0.76
237,91010,,,,,,,,,,,,,,,"Azusa, Bradbury, Duarte, Irwindale, Monrovia","$88,357 ","$66,066 ",0.35
238,91011,,,,,,,,,,,,,,,La Cañada Flintridge,"$187,297 ","$165,006 ",0.87
239,91016,,,,,,,,,,,,,,,Monrovia,"$88,285 ","$65,994 ",0.35
240,91020,,,,,,,,,,,,,,,Montrose,"$59,412 ","$37,121 ",0.2
241,91024,,,,,,,,,,,,,,,Sierra Madre,"$116,884 ","$94,593 ",0.5
242,91046,,,,,,,,,,,,,,,Glendale (Verdugo City),90750.5,"$68,460 ",0.36
243,91101,,,,,,,,,,,,,,,Pasadena,"$79,154 ","$56,863 ",0.3
244,91103,,,,,,,,,,,,,,,Pasadena,"$73,705 ","$51,414 ",0.27
245,91104,,,,,,,,,,,,,,,Pasadena,"$85,049 ","$62,758 ",0.33
246,91106,,,,,,,,,,,,,,,Pasadena,"$84,153 ","$61,862 ",0.33
247,91107,,,,,,,,,,,,,,,Pasadena,"$111,084 ","$88,793 ",0.47
248,91108,,,,,,,,,,,,,,,San Marino,"$170,223 ","$147,932 ",0.78
249,91202,,,,,,,,,,,,,,,Glendale,"$82,476 ","$60,185 ",0.32
250,91207,,,,,,,,,,,,,,,Glendale,"$103,505 ","$81,214 ",0.43
251,91208,,,,,,,,,,,,,,,Glendale,"$107,000 ","$84,709 ",0.45
252,91301,,,,,,,,,,,,,,,"Agoura Hills, Cornell","$142,177 ","$119,886 ",0.63
253,91302,,,,,,,,,,,,,,,"Calabasas, Hidden Hills, Monte Nido","$146,521 ","$124,230 ",0.65
254,91321,,,,,,,,,,,,,,,Santa Clarita (Newhall),"$74,424 ","$52,133 ",0.27
255,91350,,,,,,,,,,,,,,,"Bouquet Canyon, Green Valley, Mint Canyon, Santa Clarita (Canyon County)","$122,399 ","$100,108 ",0.53
256,91351,,,,,,,,,,,,,,,Santa Clarita (Canyon Country),"$90,671 ","$68,380 ",0.36
257,91354,,,,,,,,,,,,,,,Santa Clarita (Valencia),"$136,229 ","$113,938 ",0.6
258,91361,,,,,,,,,,,,,,,Westlake Village,"$122,305 ","$100,014 ",0.53
259,91362,,,,,,,,,,,,,,,Westlake Village,"$127,279 ","$104,988 ",0.55
260,91381,,,,,,,,,,,,,,,Stevenson Ranch,"$144,476 ","$122,185 ",0.64
261,91384,,,,,,,,,,,,,,,"Castaic, Val Verde","$119,866 ","$97,575 ",0.51
262,91387,,,,,,,,,,,,,,,"Santa Clarita (Canyon Country), Fair Oaks Ranch, Mint Canyon","$100,523 ","$78,232 ",0.41
263,91390,,,,,,,,,,,,,,,"Agua Dulce, Green Valley, Santa Clarita (Saugus)","$133,150 ","$110,859 ",0.58
264,91501,,,,,,,,,,,,,,,Burbank,"$78,630 ","$56,339 ",0.3
265,91502,,,,,,,,,,,,,,,Burbank,"$52,906 ","$30,615 ",0.16
266,91702,,,,,,,,,,,,,,,"Azusa, Irwindale","$74,175 ","$51,884 ",0.27
267,91706,,,,,,,,,,,,,,,"Baldwin Park, Irwindale","$72,737 ","$50,446 ",0.27
268,91711,,,,,,,,,,,,,,,Claremont,"$112,430 ","$90,139 ",0.47
269,91722,,,,,,,,,,,,,,,Covina,"$86,583 ","$64,292 ",0.34
270,91723,,,,,,,,,,,,,,,Covina,"$73,977 ","$51,686 ",0.27
271,91724,,,,,,,,,,,,,,,"Charter Oak, Covina","$90,799 ","$68,508 ",0.36
272,91731,,,,,,,,,,,,,,,El Monte,"$52,758 ","$30,467 ",0.16
273,91732,,,,,,,,,,,,,,,El Monte,"$58,883 ","$36,592 ",0.19
274,91733,,,,,,,,,,,,,,,"El Monte, South El Monte","$59,375 ","$37,084 ",0.2
275,91740,,,,,,,,,,,,,,,Glendora,"$92,975 ","$70,684 ",0.37
276,91741,,,,,,,,,,,,,,,Glendora,"$113,446 ","$91,155 ",0.48
277,91744,,,,,,,,,,,,,,,"City of Industry, La Puente, Valinda","$80,266 ","$57,975 ",0.31
278,91745,,,,,,,,,,,,,,,Hacienda Heights,"$94,608 ","$72,317 ",0.38
279,91746,,,,,,,,,,,,,,,"Avocado Heights, Bassett, West Puente Valley","$79,042 ","$56,751 ",0.3
280,91748,,,,,,,,,,,,,,,"City of Industry, Rowland Heights","$77,183 ","$54,892 ",0.29
281,91750,,,,,,,,,,,,,,,La Verne,"$96,184 ","$73,893 ",0.39
282,91754,,,,,,,,,,,,,,,Monterey Park,"$71,735 ","$49,444 ",0.26
283,91755,,,,,,,,,,,,,,,Monterey Park,"$66,355 ","$44,064 ",0.23
284,91759,,,,,,,,,,,,,,,Mount Baldy (Portion in LA County),"$101,688 ","$79,397 ",0.42
285,91765,,,,,,,,,,,,,,,Diamond Bar,"$99,705 ","$77,414 ",0.41
286,91766,,,,,,,,,,,,,,,Pomona (Phillips Ranch),"$67,756 ","$45,465 ",0.24
287,91767,,,,,,,,,,,,,,,Pomona,"$70,039 ","$47,748 ",0.25
288,91768,,,,,,,,,,,,,,,Pomona,"$64,820 ","$42,529 ",0.22
289,91770,,,,,,,,,,,,,,,Rosemead,"$65,042 ","$42,751 ",0.23
290,91773,,,,,,,,,,,,,,,San Dimas,"$100,614 ","$78,323 ",0.41
291,91775,,,,,,,,,,,,,,,San Gabriel,"$99,362 ","$77,071 ",0.41
292,91776,,,,,,,,,,,,,,,San Gabriel,"$70,538 ","$48,247 ",0.25
293,91780,,,,,,,,,,,,,,,Temple City,"$88,119 ","$65,828 ",0.35
294,91789,,,,,,,,,,,,,,,"City of Industry, Diamond Bar, Walnut","$116,583 ","$94,292 ",0.5
295,91790,,,,,,,,,,,,,,,West Covina,"$93,181 ","$70,890 ",0.37
296,91791,,,,,,,,,,,,,,,West Covina,"$89,794 ","$67,503 ",0.36
297,91792,,,,,,,,,,,,,,,West Covina,"$88,610 ","$66,319 ",0.35
298,91801,,,,,,,,,,,,,,,Alhambra,"$73,060 ","$50,769 ",0.27
299,93510,,,,,,,,,,,,,,,Acton,"$113,056 ","$90,765 ",0.48
300,93532,,,,,,,,,,,,,,,"Elizabeth Lake, Lake Hughes, Leona Valley, Sandberg, Three Points","$80,357 ","$58,066 ",0.31
301,93534,,,,,,,,,,,,,,,Lancaster,"$46,875 ","$24,584 ",0.13
302,93535,,,,,,,,,,,,,,,"Hi Vista, Lake Los Angeles, Lancaster, Roosevelt Corner, Wilsona Gardens","$51,560 ","$29,269 ",0.15
303,93536,,,,,,,,,,,,,,,"Del Sur, Fairmont, Lancaster, Metler Valley, Neenach, Quartz Hill","$89,987 ","$67,696 ",0.36
304,93543,,,,,,,,,,,,,,,"Juniper Hills, Littlerock, Sun Village","$61,936 ","$39,645 ",0.21
305,93544,,,,,,,,,,,,,,,"Crystalaire, Llano","$73,409 ","$51,118 ",0.27
306,93550,,,,,,,,,,,,,,,"Lake Los Angeles, Palmdale","$54,693 ","$32,402 ",0.17
307,93551,,,,,,,,,,,,,,,"City Ranch, Leona Valley, Palmdale","$98,181 ","$75,890 ",0.4
308,93552,,,,,,,,,,,,,,,Palmdale,"$73,074 ","$50,783 ",0.27
309,93553,,,,,,,,,,,,,,,"Juniper Hills, Pearblossom","$59,805 ","$37,514 ",0.2
310,93563,,,,,,,,,,,,,,,"Pearblossom, Valyermo","$210,600 ","$188,309 ",0.99
311,93591,,,,,,,,,,,,,,,"Lake Los Angeles, Palmdale","$53,733 ","$31,442 ",0.17
