,ZipCode,CrimeCount,VALUE-MIN(crime),Normalized Crime Rates,"Total Population, All Races"," ""American Indian & Alaska Native"""," ""Asian"""," ""Black or African American"""," ""Native Hawaiian & Other Pacific Islander"""," ""White (Not Hispanic or Latino)"""," ""Some other Race"""," ""Two or More Races"""," ""Hispanic or Latino""",value - min(pop),/max - min(pop),Community,Estimated Median Income,value - min(employ),/max-min(employ)
26,90044,1660.0,1659.0,0.353354633,"100,225",0.72%,0.65%,30.59%,0.13%,1.14%,34.40%,11.36%,66.79%,"100,197",0.915183179,"Athens, Los Angeles (South Los Angeles)","$43,388 ","$21,097 ",0.11
27,90031,1603.0,1602.0,0.341214058,"38,533",1.45%,28.25%,1.93%,0.14%,8.06%,40.36%,4.84%,60.89%,"38,505",0.351698437,"Los Angeles (Lincoln Heights, Montecito Heights)","$53,319 ","$31,028 ",0.16
28,90033,2383.0,2382.0,0.507348243,"47,495",1.69%,4.60%,1.77%,0.15%,2.63%,53.33%,7.89%,90.53%,"47,467",0.433555895,Los Angeles (Boyle Heights),"$49,734 ","$27,443 ",0.14
29,90227,203.0,202.0,0.043024494,,,,,,,,,,,,,,,
30,90034,1361.0,1360.0,0.289669862,"53,321",0.83%,20.33%,9.47%,0.17%,38.91%,11.84%,9.38%,26.04%,"53,293",0.486769635,Los Angeles (Palms),"$88,490 ","$66,199 ",0.35
31,90021,885.0,884.0,0.18828541,"2,724",2.79%,6.35%,17.66%,0.00%,19.09%,31.09%,12.22%,54.07%,"2,696",0.024624828,"Los Angeles (Downtown Fashion District, Downtown Southeast)","$25,364 ","$3,073 ",0.02
32,90016,2725.0,2724.0,0.580191693,"45,884",0.18%,4.51%,28.33%,0.07%,9.99%,18.85%,12.97%,54.82%,"45,856",0.418841281,Los Angeles (West Adams),"$53,659 ","$31,368 ",0.17
33,90026,2938.0,2937.0,0.625559105,"65,921",0.83%,14.87%,3.46%,0.25%,27.97%,32.39%,8.59%,49.60%,"65,893",0.601855996,"Los Angeles (Echo Park, Silver Lake)","$70,436 ","$48,145 ",0.25
34,90003,1740.0,1739.0,0.370394036,"75,190",0.94%,0.51%,17.11%,0.06%,0.42%,45.18%,14.02%,81.03%,"75,162",0.686517542,"Los Angeles (South Los Angeles, Southeast Los Angeles)","$47,733 ","$25,442 ",0.13
35,90028,4696.0,4695.0,1.0,"29,887",1.14%,11.65%,9.14%,0.00%,44.14%,16.34%,9.01%,29.43%,"29,859",0.272727273,Los Angeles (Hollywood),"$52,814 ","$30,523 ",0.16
36,90066,652.0,651.0,0.138658147,"54,913",1.36%,14.54%,4.99%,0.14%,47.66%,9.03%,9.37%,27.22%,"54,885",0.501310706,"Culver City, Los Angeles (Mar Vista)","$90,983 ","$68,692 ",0.36
37,90007,2138.0,2137.0,0.455165069,"41,270",0.62%,18.74%,10.44%,0.11%,15.14%,25.35%,9.92%,53.20%,"41,242",0.376697752,"Los Angeles (Southeast Los Angeles, Univerity Park)","$33,222 ","$10,931 ",0.06
38,90036,2025.0,2024.0,0.431096912,"37,596",0.20%,20.03%,5.14%,0.01%,57.76%,3.53%,8.32%,12.27%,"37,568",0.343140031,"Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)","$87,868 ","$65,577 ",0.35
39,90731,3116.0,3115.0,0.663471778,"62,647",0.94%,6.11%,5.08%,0.42%,27.11%,17.55%,13.67%,57.68%,"62,619",0.57195181,"Los Angeles (San Pedro, Terminal Island)","$61,144 ","$38,853 ",0.2
40,90002,857.0,856.0,0.182321619,"54,384",3.48%,1.15%,17.02%,0.14%,0.32%,35.95%,10.49%,81.06%,"54,356",0.496478905,"Los Angeles (Southeast Los Angeles, Watts)","$46,159 ","$23,868 ",0.13
41,90086,326.0,325.0,0.069222577,,,,,,,,,,,,,,,
42,91352,802.0,801.0,0.170607029,"45,900",0.68%,5.49%,2.07%,0.04%,21.33%,25.22%,17.39%,69.82%,"45,872",0.418987423,"Los Angeles (La Tuna Canyon, Sun Valley)","$65,085 ","$42,794 ",0.23
43,90079,209.0,208.0,0.044302449,,,,,,,,,,,,,,,
44,90212,50.0,49.0,0.010436635,,,,,,,,,,,,Beverly Hills,"$91,663 ","$69,372 ",0.37
45,90210,237.0,236.0,0.050266241,"19,627",0.11%,5.07%,1.91%,0.00%,81.27%,1.58%,7.74%,6.17%,"19,599",0.179014094,Beverly Hills,"$154,740 ","$132,449 ",0.7
46,91406,2272.0,2271.0,0.48370607,"54,404",0.87%,7.34%,4.86%,0.03%,26.16%,34.18%,12.92%,57.72%,"54,376",0.496661582,"Los Angeles (Lake Balboa, Van Nuys)","$64,875 ","$42,584 ",0.22
47,90042,1416.0,1415.0,0.301384452,"59,658",3.31%,13.85%,2.13%,0.03%,21.78%,27.23%,14.06%,58.71%,"59,630",0.544650768,Los Angeles (Highland Park),"$81,853 ","$59,562 ",0.31
48,90047,835.0,834.0,0.177635783,"51,494",0.90%,0.90%,55.59%,0.77%,2.00%,20.12%,6.13%,39.36%,"51,466",0.470082113,Los Angeles (South Los Angeles),"$62,399 ","$40,108 ",0.21
